SQLDATE,EventRootCode,tone_root,events_root
20260114,19,-4.719366242945794,9543
20260114,17,-5.560168580943085,7601
20260114,18,-5.9128871436052535,2803
20260114,16,-3.488696293102432,1510
20260114,20,-4.44851126433145,38
