SQLDATE,EventRootCode,AvgTone_root,n_events_root
20260117,18,-5.7,1
20260116,18,-5.7,1
20260115,18,-5.7,1
20260114,18,-5.7,1
20260113,18,-5.7,1
20260112,18,-5.7,1
20260111,18,-5.7,1
