SQLDATE,top_country,n_events_18,AvgTone_18,avg_lat,avg_long
20260114,US,863,-6.229461289033344,38.73918096755504,-92.25824252607192
20260115,US,832,-5.778690897714434,38.81786388221154,-92.70245408653848
20260109,US,829,-5.970611149653257,39.22833537394451,-91.64704041013267
20260113,US,796,-6.246747263088951,38.46469057788944,-92.57190628140704
20260112,US,674,-5.848267827148303,38.073122292284886,-90.49001839762607
20260110,US,604,-6.243089328657086,38.91334130794702,-90.37457135761596
20260116,US,465,-5.284620143990217,38.56560537634408,-89.71235913978497
20260111,US,436,-5.631684091899968,39.46415768348624,-90.81580366972474
20260114,IR,404,-6.564219394825451,34.32403094059405,51.95476831683168
20260115,IR,310,-5.882876705010178,34.573658064516124,51.827290967741945
20260109,VE,234,-4.003605174393069,9.220187564102565,-66.4268658119658
20260109,UP,215,-6.377354554024226,49.177571627906985,31.297462325581392
20260113,IR,202,-6.6793858458383495,34.180753465346534,52.18123019801982
20260112,IS,192,-6.951185050315528,31.608685416666667,34.71751666666668
20260112,IR,182,-5.774496372611473,34.36862967032968,51.88227527472528
20260111,IS,173,-6.736389373709061,31.51457745664739,34.62248901734104
20260109,RS,167,-5.594217675376786,57.1638646706587,66.57164311377247
20260111,IR,164,-6.142009580200933,34.36083475609757,52.44686951219512
20260113,UP,162,-6.4597817938665045,49.19692222222223,31.91916604938271
20260115,VE,158,-4.692614309612781,8.912657341772151,-66.41882721518988
20260112,VE,158,-3.763477815103923,9.1274811392405,-66.5113841772152
20260113,RS,157,-5.38224913618228,56.881756050955424,60.35757515923567
20260110,VE,155,-3.956457357435813,9.06417870967742,-66.37275161290324
20260114,IS,152,-5.431890800518218,31.53929210526316,34.66640855263158
20260115,IS,148,-5.868290226573183,31.543228378378384,34.713779729729715
20260116,IR,143,-5.840032066321915,34.3430048951049,52.01829440559441
20260114,RS,141,-6.22129242092598,55.70127659574469,57.71121843971633
20260111,VE,141,-3.8133773037106846,9.233776666666667,-66.64721773049642
20260113,IS,141,-7.019300310406122,31.50701914893617,34.61519503546101
20260116,IS,131,-6.2550125836600055,31.551262595419843,34.6556213740458
20260110,UP,131,-5.980934886440652,48.939432061068686,31.724748854961845
20260110,RS,130,-5.349905837342334,56.18550076923078,67.26957692307693
20260113,NI,128,-6.744026963368482,9.043508984375,7.148978984374998
20260109,IN,125,-6.171967809532229,24.31975392,78.23213439999995
20260109,IS,125,-6.770738783281433,31.5215664,34.67418159999999
20260113,VE,124,-4.2375763546740055,8.947790241935486,-66.4145241935484
20260112,RS,123,-5.64002624173884,55.98207317073171,64.05291707317073
20260113,IN,123,-5.387966406347026,23.489616910569108,77.29429349593497
20260110,IN,122,-6.169796922115622,23.99045081967213,78.71660901639345
20260113,UK,122,-5.565051210343501,53.03941393442622,-2.2563369262295083
20260110,IR,121,-7.265570158371817,34.18919256198347,52.05037190082645
20260112,UP,121,-5.482233114386567,49.255873553719,32.43220578512397
20260115,RS,120,-5.788072160966411,57.20639666666667,63.90365916666668
20260112,UK,117,-5.744799209031794,53.105599145299145,-2.469048444444444
20260109,IR,116,-6.868781965117174,34.34521293103449,52.02355948275862
20260111,UP,115,-6.5194414739623605,49.35109043478261,32.05562173913046
20260114,UP,113,-6.332104897489584,49.18743982300884,32.12879026548673
20260114,IN,112,-5.793189531867482,22.22927589285715,77.08809910714285
20260114,VE,109,-4.62392902897561,9.15057605504587,-66.54454678899083
20260114,UK,106,-5.659767655117612,53.205663207547175,-2.3099055094339622
20260111,IN,104,-5.207345248591024,20.9361676923077,78.50162211538463
20260115,IN,103,-6.807644115341257,24.136480582524275,78.3746339805825
20260114,CA,93,-7.178894075163341,51.275816129032265,-93.21842795698926
20260116,RS,89,-5.147268533677908,55.88383820224719,62.70668988764045
20260112,IN,89,-6.093652785433555,23.00293280898877,77.30693033707867
20260115,UP,86,-6.780361345139543,49.06858255813953,32.05059302325582
20260115,UK,84,-4.9640516728028,52.93419285714287,-1.784927202380952
20260116,UP,82,-6.050569855564635,48.464930487804885,32.01058536585366
20260111,RS,81,-5.622508301964202,56.53977160493828,65.63496296296297
20260114,NI,81,-6.071728885450883,9.904285679012345,6.547012592592593
20260112,PK,78,-6.789144036631274,31.23714743589744,70.32339487179487
20260109,UK,75,-5.284502905990484,53.19453066666667,-2.35269784
20260111,NI,74,-6.1314627164927336,8.456996216216217,7.449197567567568
20260115,NI,74,-6.806606358788607,9.048386081081084,6.1931581081081095
20260109,NI,73,-7.006009406975755,8.774668493150688,7.332908767123288
20260110,IS,72,-7.574491396801296,31.53737083333333,34.62408472222223
20260112,NI,69,-5.578315160159601,8.06067507246377,7.082752318840581
20260113,CA,69,-4.983391089583668,50.05555942028985,-96.79293333333334
20260111,SY,69,-5.453235698697653,34.95084057971014,37.54444057971014
20260112,BG,68,-8.113279439682845,23.717205882352943,90.274175
20260116,IN,68,-6.511116812962431,23.89069705882353,77.72448088235294
20260116,VE,67,-3.115510065682648,8.918477611940299,-66.25820746268657
20260113,BG,61,-7.47387237292963,23.60254918032787,90.46769508196722
20260116,UK,60,-5.69568696677432,52.98222166666666,-2.5227774333333333
20260109,BG,56,-6.378177078215067,23.817983928571422,90.23436428571428
20260114,PK,56,-6.740829665324788,30.594210714285715,70.84554999999997
20260113,PK,55,-7.41434907118375,29.42865454545455,69.64923818181819
20260116,BG,55,-7.128717864437172,23.87483090909091,90.5141581818182
20260115,AS,55,-6.443622049748612,-33.07533636363635,143.30165454545454
20260110,UK,54,-5.421754737960704,53.33764814814815,-2.670473055555556
